SURVEY,year,start_time,transect,REPORT_NUMBER,region,interval,lat,lon,temperature
200703,2007,3/2/2007 13:01,1,1,Bogoslof,103,54.0855125,-167.0757667,3.39275
200703,2007,3/2/2007 13:04,1,1,Bogoslof,104,54.07568333,-167.0762667,3.3802
200703,2007,3/2/2007 13:07,1,1,Bogoslof,105,54.06758333,-167.0759967,3.3846
200703,2007,3/2/2007 13:10,1,1,Bogoslof,106,54.05948,-167.07574,3.3732
200703,2007,3/2/2007 13:12,1,1,Bogoslof,107,54.05145333,-167.0757167,3.365
200703,2007,3/2/2007 13:15,1,1,Bogoslof,108,54.0426375,-167.075325,3.374
200703,2007,3/2/2007 13:17,1,1,Bogoslof,109,54.03384,-167.0754567,3.374
200703,2007,3/2/2007 13:20,1,1,Bogoslof,110,54.02571667,-167.0754367,3.3872
200703,2007,3/2/2007 13:23,1,1,Bogoslof,111,54.01747333,-167.0753867,3.4132
200703,2007,3/2/2007 13:25,1,1,Bogoslof,112,54.00905333,-167.0755133,3.4226
200703,2007,3/2/2007 13:28,1,1,Bogoslof,113,54.00065,-167.0754,3.4106
200703,2007,3/2/2007 13:30,1,1,Bogoslof,114,53.99235,-167.07531,3.4266
200703,2007,3/2/2007 13:33,1,1,Bogoslof,115,53.98319583,-167.0750709,3.4565
200703,2007,3/2/2007 13:35,1,1,Bogoslof,116,53.9747875,-167.0748333,3.476
200703,2007,3/2/2007 13:38,1,1,Bogoslof,117,53.96629583,-167.0749417,3.488
200703,2007,3/2/2007 13:40,1,1,Bogoslof,118,53.95857,-167.07518,3.5072
200703,2007,3/2/2007 13:43,1,1,Bogoslof,119,53.94986667,-167.0753667,3.5072
200703,2007,3/2/2007 13:45,1,1,Bogoslof,120,53.94208667,-167.07787,3.5454
200703,2007,3/2/2007 14:14,2,1,Bogoslof,131,53.88995,-167.1609367,3.5144
200703,2007,3/2/2007 14:16,2,1,Bogoslof,132,53.89836333,-167.1605967,3.5186
200703,2007,3/2/2007 14:19,2,1,Bogoslof,133,53.90614,-167.1604467,3.5068
200703,2007,3/2/2007 14:23,2,1,Bogoslof,134,53.914425,-167.1606083,3.49325
200703,2007,3/2/2007 14:27,2,1,Bogoslof,135,53.9229,-167.1607766,3.4794
200703,2007,3/2/2007 14:30,2,1,Bogoslof,136,53.93105,-167.16036,3.4718
200703,2007,3/2/2007 14:33,2,1,Bogoslof,137,53.93940833,-167.1599417,3.45275
200703,2007,3/2/2007 14:36,2,1,Bogoslof,138,53.94744333,-167.15942,3.4436
200703,2007,3/2/2007 14:40,2,1,Bogoslof,139,53.95639,-167.1600833,3.4442
200703,2007,3/2/2007 14:43,2,1,Bogoslof,140,53.96431,-167.16014,3.449
200703,2007,3/2/2007 14:46,2,1,Bogoslof,141,53.97231333,-167.1605167,3.4512
200703,2007,3/2/2007 14:49,2,1,Bogoslof,142,53.98099167,-167.1604167,3.4525
200703,2007,3/2/2007 14:52,2,1,Bogoslof,143,53.98919,-167.1602733,3.4428
