Survey,Vessel_Code,year,start_date,start,end_date,end
1988,21,1988,02/12/88,12-Feb,03/03/88,3-Mar
198901,21,1989,03/01/89,1-Mar,03/07/89,7-Mar
199101,21,1991,02/23/91,23-Feb,03/03/91,3-Mar
199101,21,1991,03/07/91,7-Mar,03/10/91,10-Mar
199202,21,1992,02/28/92,28-Feb,03/08/92,8-Mar
199301,21,1993,02/05/93,5-Feb,02/09/93,9-Feb
199301,21,1993,02/27/93,27-Feb,03/05/93,5-Mar
199402,21,1994,02/27/94,27-Feb,03/08/94,8-Mar
199502,21,1995,02/25/95,25-Feb,03/08/95,8-Mar
199603,21,1996,02/27/96,27-Feb,03/07/96,7-Mar
199702,21,1997,03/01/97,1-Mar,03/10/97,10-Mar
199802,21,1998,03/02/98,2-Mar,03/09/98,9-Mar
199901,21,1999,02/01/99,1-Feb,02/09/99,9-Feb
199901,21,1999,02/21/99,21-Feb,03/04/99,7-Mar
200003,21,2000,03/02/20,2-Mar,03/12/20,12-Mar
200103,21,2001,03/05/01,5-Mar,03/11/01,11-Mar
200203,21,2002,03/05/02,5-Mar,03/08/02,8-Mar
200304,21,2003,03/09/03,9-Mar,03/13/03,18-Mar
200503,21,2005,03/07/05,7-Mar,03/13/05,13-Mar
200603,21,2006,03/07/06,7-Mar,03/09/06,9-Mar
200703,21,2007,03/01/07,1-Mar,03/10/07,10-Mar
200903,157,2009,03/07/09,7-Mar,03/13/09,13-Mar
201202,157,2012,03/07/12,7-Mar,03/15/12,15-Mar
201402,157,2014,03/07/14,7-Mar,03/11/14,11-Mar
201603,157,2016,03/04/16,4-Mar,03/08/16,8-Mar
201802,157,2018,03/03/18,8-Mar,03/10/18,10-Mar
202002,157,2020,02/19/20,19-Feb,02/23/20,23-Feb
202402,157,2024,02/23/24,23-Feb,02/25/24,25-Feb
