ship,year,length,biomass,numbers
21,1988,10,0,0
21,1988,11,0,0
21,1988,12,0,0
21,1988,13,0,0
21,1988,14,0,0
21,1988,15,0,0
21,1988,16,0,0
21,1988,17,0,0
21,1988,18,0,0
21,1988,19,0,0
21,1988,20,0,0
21,1988,21,0,0
21,1988,22,0,0
21,1988,23,0,0
21,1988,24,0,0
21,1988,25,0,0
21,1988,26,0,0
21,1988,27,0,0
21,1988,28,0,0
21,1988,29,0,0
21,1988,30,0,0
21,1988,31,0,0
21,1988,32,0,0
21,1988,33,0,0
21,1988,34,0,0
21,1988,35,0,0
21,1988,36,0,0
21,1988,37,3.199,9.48975
21,1988,38,2.304,6.279202
21,1988,39,6.365,15.96979
21,1988,40,10.573,24.47543
21,1988,41,12.697,27.17125
21,1988,42,24.36,48.28088
21,1988,43,64.253,118.157
21,1988,44,104.733,179.0081
21,1988,45,206.586,328.7201
21,1988,46,328.735,487.742
21,1988,47,394.741,546.9261
21,1988,48,367.368,476.0113
21,1988,49,320.63,389.0623
21,1988,50,217.89,247.9287
21,1988,51,152.084,162.4799
21,1988,52,79.654,79.99849
21,1988,53,50.739,47.96067
21,1988,54,21.211,18.8915
21,1988,55,14.191,11.92238
21,1988,56,5.58,4.426917
21,1988,57,3.886,2.914284
21,1988,58,1.395,0.989628
21,1988,59,0,0
21,1988,60,0,0
21,1988,61,2.561,1.547315
21,1988,62,0,0
21,1988,63,0,0
21,1988,64,0,0
21,1988,65,0,0
21,1988,66,0,0
21,1988,67,0,0
21,1988,68,0,0
21,1988,69,0,0
21,1988,70,0,0
21,1988,71,0,0
21,1988,72,0,0
21,1988,73,0,0
21,1989,10,0,0
21,1989,11,0,0
21,1989,12,0,0
21,1989,13,0,0
21,1989,14,0,0
21,1989,15,0,0
21,1989,16,0,0
21,1989,17,0,0
21,1989,18,0,0
21,1989,19,0,0
21,1989,20,0,0
21,1989,21,0,0
21,1989,22,0,0
21,1989,23,0,0
21,1989,24,0,0
21,1989,25,0,0
21,1989,26,0,0
21,1989,27,0,0
21,1989,28,0,0
21,1989,29,0,0
21,1989,30,0,0
21,1989,31,0,0
21,1989,32,0,0
21,1989,33,0,0
21,1989,34,0,0
21,1989,35,0,0
21,1989,36,0,0
21,1989,37,0.846,2.865778
21,1989,38,0,0
21,1989,39,1.461,4.10507
21,1989,40,1.116,2.865778
21,1989,41,1.532,3.604108
21,1989,42,10.704,23.11339
21,1989,43,16.516,32.80031
21,1989,44,29.588,54.14537
21,1989,45,93.899,158.6347
21,1989,46,113.092,176.6918
21,1989,47,268.496,388.6004
21,1989,48,323.17,433.9852
21,1989,49,345.632,431.3279
21,1989,50,314.778,365.5877
21,1989,51,258.067,279.3384
21,1989,52,166.322,168.0167
21,1989,53,89.721,84.69868
21,1989,54,56.681,50.0663
21,1989,55,16.27,13.46297
21,1989,56,6.059,4.702424
21,1989,57,10.681,7.78397
21,1989,58,1.22,0.835475
21,1989,59,0,0
21,1989,60,0,0
21,1989,61,0,0
