SURVEY,SPECIES_CODE,REPORT_NUMBER,LENGTH,region,year,BIOMASS,NUMBERS
198801,21740,1,10,Undefined,1988,0,0
198801,21740,1,11,Undefined,1988,0,0
198801,21740,1,12,Undefined,1988,0,0
198801,21740,1,13,Undefined,1988,0,0
198801,21740,1,14,Undefined,1988,0,0
198801,21740,1,15,Undefined,1988,0,0
198801,21740,1,16,Undefined,1988,0,0
198801,21740,1,17,Undefined,1988,0,0
198801,21740,1,18,Undefined,1988,0,0
198801,21740,1,19,Undefined,1988,0,0
198801,21740,1,20,Undefined,1988,0,0
198801,21740,1,21,Undefined,1988,0,0
198801,21740,1,22,Undefined,1988,0,0
198801,21740,1,23,Undefined,1988,0,0
198801,21740,1,24,Undefined,1988,0,0
198801,21740,1,25,Undefined,1988,0,0
198801,21740,1,26,Undefined,1988,0,0
198801,21740,1,27,Undefined,1988,0,0
198801,21740,1,28,Undefined,1988,0,0
198801,21740,1,29,Undefined,1988,0,0
198801,21740,1,30,Undefined,1988,0,0
198801,21740,1,31,Undefined,1988,0,0
198801,21740,1,32,Undefined,1988,0,0
198801,21740,1,33,Undefined,1988,0,0
198801,21740,1,34,Undefined,1988,0,0
198801,21740,1,35,Undefined,1988,0,0
198801,21740,1,36,Undefined,1988,0,0
198801,21740,1,37,Undefined,1988,3199000,9489750
198801,21740,1,38,Undefined,1988,2304000,6279202
198801,21740,1,39,Undefined,1988,6365000,15969790
198801,21740,1,40,Undefined,1988,10573000,24475430
198801,21740,1,41,Undefined,1988,12697000,27171250
198801,21740,1,42,Undefined,1988,24360000,48280880
198801,21740,1,43,Undefined,1988,64253000,118157000
198801,21740,1,44,Undefined,1988,104733000,179008100
198801,21740,1,45,Undefined,1988,206586000,328720100
198801,21740,1,46,Undefined,1988,328735000,487742000
198801,21740,1,47,Undefined,1988,394741000,546926100
198801,21740,1,48,Undefined,1988,367368000,476011300
198801,21740,1,49,Undefined,1988,320630000,389062300
198801,21740,1,50,Undefined,1988,217890000,247928700
198801,21740,1,51,Undefined,1988,152084000,162479900
198801,21740,1,52,Undefined,1988,79654000,79998490
198801,21740,1,53,Undefined,1988,50739000,47960670
198801,21740,1,54,Undefined,1988,21211000,18891500
198801,21740,1,55,Undefined,1988,14191000,11922380
198801,21740,1,56,Undefined,1988,5580000,4426917
198801,21740,1,57,Undefined,1988,3886000,2914284
198801,21740,1,58,Undefined,1988,1395000,989628
198801,21740,1,59,Undefined,1988,0,0
198801,21740,1,60,Undefined,1988,0,0
198801,21740,1,61,Undefined,1988,2561000,1547315
198801,21740,1,62,Undefined,1988,0,0
198801,21740,1,63,Undefined,1988,0,0
198801,21740,1,64,Undefined,1988,0,0
198801,21740,1,65,Undefined,1988,0,0
198801,21740,1,66,Undefined,1988,0,0
198801,21740,1,67,Undefined,1988,0,0
198801,21740,1,68,Undefined,1988,0,0
198801,21740,1,69,Undefined,1988,0,0
198801,21740,1,70,Undefined,1988,0,0
198801,21740,1,71,Undefined,1988,0,0
198801,21740,1,72,Undefined,1988,0,0
198801,21740,1,73,Undefined,1988,0,0
198901,21740,1,10,Undefined,1989,0,0
198901,21740,1,11,Undefined,1989,0,0
198901,21740,1,12,Undefined,1989,0,0
198901,21740,1,13,Undefined,1989,0,0
198901,21740,1,14,Undefined,1989,0,0
198901,21740,1,15,Undefined,1989,0,0
198901,21740,1,16,Undefined,1989,0,0
198901,21740,1,17,Undefined,1989,0,0
198901,21740,1,18,Undefined,1989,0,0
198901,21740,1,19,Undefined,1989,0,0
198901,21740,1,20,Undefined,1989,0,0
198901,21740,1,21,Undefined,1989,0,0
198901,21740,1,22,Undefined,1989,0,0
198901,21740,1,23,Undefined,1989,0,0
198901,21740,1,24,Undefined,1989,0,0
198901,21740,1,25,Undefined,1989,0,0
198901,21740,1,26,Undefined,1989,0,0
198901,21740,1,27,Undefined,1989,0,0
198901,21740,1,28,Undefined,1989,0,0
198901,21740,1,29,Undefined,1989,0,0
198901,21740,1,30,Undefined,1989,0,0
198901,21740,1,31,Undefined,1989,0,0
198901,21740,1,32,Undefined,1989,0,0
198901,21740,1,33,Undefined,1989,0,0
198901,21740,1,34,Undefined,1989,0,0
198901,21740,1,35,Undefined,1989,0,0
198901,21740,1,36,Undefined,1989,0,0
198901,21740,1,37,Undefined,1989,846000,2865778
198901,21740,1,38,Undefined,1989,0,0
198901,21740,1,39,Undefined,1989,1461000,4105070
198901,21740,1,40,Undefined,1989,1116000,2865778
198901,21740,1,41,Undefined,1989,1532000,3604108
198901,21740,1,42,Undefined,1989,10704000,23113390
198901,21740,1,43,Undefined,1989,16516000,32800310
198901,21740,1,44,Undefined,1989,29588000,54145370
198901,21740,1,45,Undefined,1989,93899000,158634700
198901,21740,1,46,Undefined,1989,113092000,176691800
198901,21740,1,47,Undefined,1989,268496000,388600400
198901,21740,1,48,Undefined,1989,323170000,433985200
198901,21740,1,49,Undefined,1989,345632000,431327900
198901,21740,1,50,Undefined,1989,314778000,365587700
198901,21740,1,51,Undefined,1989,258067000,279338400
198901,21740,1,52,Undefined,1989,166322000,168016700
198901,21740,1,53,Undefined,1989,89721000,84698680
198901,21740,1,54,Undefined,1989,56681000,50066300
198901,21740,1,55,Undefined,1989,16270000,13462970
198901,21740,1,56,Undefined,1989,6059000,4702424
198901,21740,1,57,Undefined,1989,10681000,7783970
198901,21740,1,58,Undefined,1989,1220000,835475
198901,21740,1,59,Undefined,1989,0,0
198901,21740,1,60,Undefined,1989,0,0
198901,21740,1,61,Undefined,1989,0,0
198901,21740,1,62,Undefined,1989,0,0
198901,21740,1,63,Undefined,1989,0,0
198901,21740,1,64,Undefined,1989,0,0
198901,21740,1,65,Undefined,1989,0,0
198901,21740,1,66,Undefined,1989,0,0
198901,21740,1,67,Undefined,1989,0,0
198901,21740,1,68,Undefined,1989,0,0
198901,21740,1,69,Undefined,1989,0,0
198901,21740,1,70,Undefined,1989,0,0
198901,21740,1,71,Undefined,1989,0,0
198901,21740,1,72,Undefined,1989,0,0
198901,21740,1,73,Undefined,1989,0,0
199101,21740,1,10,Undefined,1991,0,0
199101,21740,1,11,Undefined,1991,0,0
199101,21740,1,12,Undefined,1991,0,0
199101,21740,1,13,Undefined,1991,0,0
199101,21740,1,14,Undefined,1991,0,0
199101,21740,1,15,Undefined,1991,0,0
199101,21740,1,16,Undefined,1991,0,0
199101,21740,1,17,Undefined,1991,0,0
199101,21740,1,18,Undefined,1991,0,0
199101,21740,1,19,Undefined,1991,0,0
199101,21740,1,20,Undefined,1991,0,0
199101,21740,1,21,Undefined,1991,0,0
199101,21740,1,22,Undefined,1991,500000,500000
199101,21740,1,23,Undefined,1991,500000,1601033
199101,21740,1,24,Undefined,1991,500000,1189807
199101,21740,1,25,Undefined,1991,0,0
199101,21740,1,26,Undefined,1991,500000,500000
199101,21740,1,27,Undefined,1991,0,0
199101,21740,1,28,Undefined,1991,0,0
199101,21740,1,29,Undefined,1991,0,0
199101,21740,1,30,Undefined,1991,0,0
199101,21740,1,31,Undefined,1991,0,0
199101,21740,1,32,Undefined,1991,0,0
199101,21740,1,33,Undefined,1991,0,0
199101,21740,1,34,Undefined,1991,0,0
199101,21740,1,35,Undefined,1991,0,0
199101,21740,1,36,Undefined,1991,0,0
199101,21740,1,37,Undefined,1991,500000,500000
199101,21740,1,38,Undefined,1991,768000,2467354
199101,21740,1,39,Undefined,1991,1843000,5345934
199101,21740,1,40,Undefined,1991,2801000,7358193
199101,21740,1,41,Undefined,1991,7940000,18932782
199101,21740,1,42,Undefined,1991,10812000,23456264
199101,21740,1,43,Undefined,1991,15540000,30743115
199101,21740,1,44,Undefined,1991,20103000,36341195
199101,21740,1,45,Undefined,1991,28059000,46446359
199101,21740,1,46,Undefined,1991,36235000,55027154
199101,21740,1,47,Undefined,1991,56880000,79393607
199101,21740,1,48,Undefined,1991,101488000,130434792
199101,21740,1,49,Undefined,1991,141399000,167614832
199101,21740,1,50,Undefined,1991,187006000,204794459
199101,21740,1,51,Undefined,1991,186358000,188838639
199101,21740,1,52,Undefined,1991,170855000,160436590
199101,21740,1,53,Undefined,1991,139671000,121715784
